GO Term	Size	RealTPD	RealPvalue	ShuffledTPD	ShuffledPvalue
GO:0033554	26	1716.0	0.45986420590307137	1575.0	0.11349695762712392
GO:0033673	4	14.0	0.010269958523749992	40.0	0.862169673729559
GO:0033674	6	33.0	7.771970442750608E-4	82.0	0.5744603178443368
GO:0033762	3	3.0	0.0027645561644255995	16.0	0.510033481788937
GO:0033865	3	14.0	0.3448186521234654	16.0	0.510033481788937
GO:0033875	3	14.0	0.3448186521234654	21.0	0.8611386820779643
GO:0033993	7	94.0	0.17755477693211238	95.0	0.19196781720055225
GO:0034032	3	14.0	0.3448186521234654	23.0	0.9343022670638608
GO:0034097	11	257.0	0.17540640191494702	281.0	0.38976897138578953
GO:0034199	3	3.0	0.0027645561644255995	15.0	0.42580108506480596
GO:0034220	9	220.0	0.8600577553099711	156.0	0.10154069138776953
GO:0034237	3	5.0	0.010116491878262655	15.0	0.42580108506480596
GO:0034243	3	4.0	0.005483653277737073	15.0	0.42580108506480596
GO:0034248	8	100.0	0.016934237733518456	136.0	0.29529779321702176
GO:0034250	4	23.0	0.12780398353791242	44.0	0.9467394451314279
GO:0034381	4	39.0	0.831253797884157	43.0	0.9309708097348283
GO:0034383	4	39.0	0.831253797884157	30.0	0.41300657794238405
GO:0034399	6	87.0	0.7018707396173187	81.0	0.5474938250996251
GO:0034427	4	6.0	3.678756898097148E-4	24.0	0.1572496544953231
GO:0034440	4	33.0	0.5687425224365713	18.0	0.03657078126592459
GO:0034453	4	11.0	0.0033605461663601855	27.0	0.26999894656703405
GO:0034470	10	118.0	7.826952410594123E-5	257.0	0.7230487216883156
GO:0034472	4	6.0	3.678756898097148E-4	32.0	0.5168213003721176
GO:0034475	4	6.0	3.678756898097148E-4	40.0	0.862169673729559
GO:0034504	7	43.0	1.1589079326092184E-4	83.0	0.06433819443138003
GO:0034605	4	32.0	0.5168213003721176	25.0	0.19083566892832424
GO:0034613	54	6292.0	1.5442092843923652E-5	7869.0	0.7117781469377567
GO:0034620	3	19.0	0.7458718066309742	11.0	0.14996743553214986
GO:0034622	28	1851.0	0.1249902901992217	1755.0	0.033482365044983586
GO:0034641	60	9874.0	0.8258195787885637	9554.0	0.5372519720980841
GO:0034645	25	1395.0	0.046508239648174576	1499.0	0.20798875909283915
GO:0034654	15	543.0	0.40794065639697263	531.0	0.3301950223162622
GO:0034655	10	106.0	1.6057110528531784E-5	203.0	0.13421163943763711
GO:0034660	11	170.0	4.826070144769364E-4	292.0	0.5077441429500505
GO:0034661	4	6.0	3.678756898097148E-4	26.0	0.22849334767870647
GO:0034702	4	16.0	0.01998414835164898	25.0	0.19083566892832424
GO:0034762	7	60.0	0.00286684168248387	95.0	0.19196781720055225
GO:0034764	4	18.0	0.03657078126592459	30.0	0.41300657794238405
GO:0034765	7	60.0	0.00286684168248387	66.0	0.007378306760721179
GO:0034767	4	18.0	0.03657078126592459	17.0	0.02723999000694707
GO:0034774	8	69.0	2.4575401347318854E-4	117.0	0.08475278918069722
GO:0034976	8	127.0	0.1751807343042167	176.0	0.8890800212533579
GO:0034982	3	22.0	0.902713763291213	9.0	0.07185340703421195
GO:0035088	3	8.0	0.04692563119074478	8.0	0.04692563119074478
GO:0035148	3	7.0	0.029419016654363854	14.0	0.3448186521234654
GO:0035150	4	20.0	0.06302333118791523	37.0	0.7571457407544191
GO:0035239	8	85.0	0.0027054761244497162	120.0	0.10715103597629365
GO:0035295	8	85.0	0.0027054761244497162	120.0	0.10715103597629365
GO:0035296	4	20.0	0.06302333118791523	39.0	0.831253797884157
GO:0035383	3	14.0	0.3448186521234654	16.0	0.510033481788937
GO:0035556	31	1700.0	7.871856699499028E-7	2471.0	0.48110515077109683
GO:0035567	5	38.0	0.08695245604844618	51.0	0.43179455861999705
GO:0035578	5	10.0	4.388922339685133E-5	42.0	0.16005363367383604
GO:0035579	4	6.0	3.678756898097148E-4	16.0	0.01998414835164898
GO:0035580	3	3.0	0.0027645561644255995	21.0	0.8611386820779643
GO:0035637	3	4.0	0.005483653277737073	19.0	0.7458718066309742
GO:0035639	35	2788.0	0.02105165594300964	3340.0	0.8055199033222673
GO:0035690	3	17.0	0.5938024080403933	13.0	0.2703766711819732
